X,favoriteCount,replyToSN,truncated,replyToSID,id,replyToUID,screenName,retweetCount,isRetweet,retweeted,,,,,,
269,0,NA,0,NA,8.01479579554562E+017,NA,ANI_cdote,0,0,0,,,,,,
270,0,NA,0,NA,8.0147944397371E+017,NA,iVimalPandey,76,1,0,,,,,,
271,0,NA,0,NA,8.01479314999013E+017,NA,ankitvasta1,45,1,0,,,,,,
272,0,NA,0,NA,8.01479303800226E+017,NA,SPJ1810,76,1,0,,,,,,
273,0,0,NA,0,NA,8.0147928674193E+017,NA,yaajushi,637,1,0,,,,,
274,0,NA,0,NA,8.01479261991289E+017,NA,500Urvashi,7,1,0,,,,,,
275,0,NA,0,NA,8.01479225567941E+017,NA,Sowmyareddyr,45,1,0,,,,,,
276,0,NA,0,NA,8.01479212460708E+017,NA,amareshskumar,76,1,0,,,,,,
277,0,0,NA,0,NA,8.01479203820442E+017,NA,sumit1221,637,1,0,,,,,
278,0,NA,0,NA,8.01479203367617E+017,NA,MayTkt,20,1,0,,,,,,
279,0,NA,0,NA,8.01479118844002E+017,NA,MihirBSR,30,1,0,,,,,,
280,0,NA,0,NA,8.01479084027118E+017,NA,iHolyCow,7,1,0,,,,,,
281,0,NA,0,NA,8.0147907146095E+017,NA,iTheTrollKiller,7,1,0,,,,,,
282,0,NA,0,NA,8.01479051017933E+017,NA,Modi3rdClass,7,1,0,,,,,,
283,0,NA,0,NA,8.01478992754836E+017,NA,KehKDsunga,7,1,0,,,,,,
284,0,NA,0,NA,8.01478990229885E+017,NA,viksbhatt,1010,1,0,,,,,,
285,0,NA,0,NA,8.01478984156516E+017,NA,Eagl3Eye_,7,1,0,,,,,,
286,0,NA,0,NA,8.01478780111954E+017,NA,legenddhananjay,95,1,0,,,,,,
287,0,NA,1,NA,8.01478772318872E+017,NA,adisave,0,0,0,,,,,,
288,4,naam_pk,0,8.01476518551634E+017,8.01478720364171E+017,4665023062,AAPVind,7,0,0,,,,,,
289,0,NA,0,NA,8.01478589564625E+017,NA,56perumal,112,1,0,,,,,,
290,0,NA,0,NA,8.01478569792651E+017,NA,itsmeAdii1221,95,1,0,,,,,,
291,0,NA,0,NA,8.01478548561105E+017,NA,dimwittedjoker,66,1,0,,,,,,
292,0,NA,0,NA,8.01478545314714E+017,NA,alokbehera,20,1,0,,,,,,
293,0,NA,0,NA,8.01478507612271E+017,NA,AmanTainguria22,0,0,0,,,,,,
294,0,ArvindKejriwal,0,NA,8.01478478054818E+017,405427035,Devtech11,0,0,0,,,,,,
295,0,NA,0,NA,8.01478430571299E+017,NA,balramkverma,0,0,0,,,,,,
